DANE,Shape_Length,Shape_Area,Departamento,CasosVIH2008,CasosVIH2009,CasosVIH2010,CasosVIH2011,CasosVIH2012,Gini_2002,Gini_2003,Gini_2004,Gini_2005,Gini_2008,Gini_2009,Gini_2010,Gini_2011,Gini_2012,Gini_2013,Gini_2014,MuVIH_2005,MuVIH_2006,MuVIH_2007,MuVIH_2008,MuVIH_2009,MuVIH_2010,MuVIH_2011,MuVIH_2012,Pobreza,Vivienda,ServiciosInadecuados,Hacinamiento,InasistenciaEscolar,DependenciaEconomica
5,1985192.67417367,64659520529.3632,Antioquia,917,999,907,1066,1037,0.58,0.59,0.57,0.55,0.58,0.56,0.56,537,0.53,0.53,0.56,250,271,297,268,279,265,252,287,22.96,6.97,4.15,9.08,3.43,11.27
8,246109.868975623,3500916917.61511,Atlántico,590,606,510,544,657,0.53,0.53,0.52,0.51,0.5,0.49,0.5,467,0.46,0.45,0.45,368,348,328,329,272,298,306,252,24.74,4.92,9.28,9.31,3.89,8.78
11,325737.10128898,1671309136.35655,Bogotá D.C.,1372,1291,1281,1550,1406,0.57,0.55,0.56,0.56,0.53,0.53,0.53,522,0.5,0.5,0.5,113,118,98,129,125,123,123,126,9.2,0.97,0.57,5.31,1.56,2.52
13,1331045.32107731,26932961670.2586,Bolívar,202,250,333,347,424,0.54,0.48,0.48,0.48,0.54,0.53,0.51,0.5,0.51,0.5,0.51,11,26,22,25,20,15,25,22,46.6,22.34,22.7,17.21,4.31,16.77
15,1376616.84729375,23737822857.8685,Boyacá,77,87,56,80,70,0.6,0.59,0.55,0.56,0.58,0.53,0.54,538,0.53,0.53,0.53,57,65,58,67,68,66,68,57,30.77,11.92,6.61,11.24,2.56,13.27
17,607693.293051469,7670592667.77961,Caldas,164,128,136,131,154,0.5,0.52,0.52,0.5,0.55,0.54,0.53,528,0.52,0.52,0.52,17,13,22,19,20,20,11,17,17.76,1.35,1.45,5.95,2.38,10.48
18,1894334.48851469,90785475151.7498,Caquetá,40,31,39,47,60,0.53,0.51,0.49,0.53,0.48,0.49,0.45,459,0.48,0.47,0.47,24,26,33,47,35,33,47,33,41.72,13.63,12.19,14.95,5.37,17.08
19,1246936.80915204,29923594010.7161,Cauca,74,68,79,92,113,0.53,0.47,0.53,0.5,0.59,0.59,0.57,554,0.57,0.55,0.54,72,69,66,34,76,84,76,74,46.62,28.72,14.76,11.85,4.94,16.04
20,1099217.97274142,23772666926,Cesar,100,204,162,182,216,0.47,0.43,0.49,0.46,0.55,0.55,0.52,506,0.52,0.49,0.47,63,68,73,65,64,85,64,48,44.73,20.82,11.03,22.62,7.02,19.35
23,825240.020405206,25743033158.1986,Córdoba,179,258,271,312,304,0.56,0.55,0.53,0.54,0.53,0.56,0.55,556,0.54,0.53,0.5,20,20,31,27,22,23,23,16,59.09,30.26,41.56,10.81,21.14,4.88
